ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
11352,3243003,Active,301223,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Bergen Street,St. Marks Place,40.6792900184519,-73.9683803578957,"993,020.243930474","186,761.669505477",POINT (-73.968380357896 40.679290018452)
5854,3249866,Active,330703,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Prospect Place,Park Place,40.6774106483688,-73.9690603095865,"992,831.889648393","186,076.893644065",POINT (-73.969060309586 40.677410648369)
15406,2033038,Active,220848,,,,Bronx,,,,,40.8268307168128,-73.8874825043838,"1,015,389.58140956","240,533.953692973",POINT (-73.887482504384 40.826830716813)
5855,3249865,Active,312175,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,St. Mark's Avenue,Prospect Place,40.6780879527023,-73.9688144154076,"992,900.006638139","186,323.67923972",POINT (-73.968814415408 40.678087952702)
15405,2083111,Active,213858,,,,Bronx,,,,,40.8926304236024,-73.8574753442303,"1,023,655.14788364","264,519.387021229",POINT (-73.85747534423 40.892630423602)
11354,3243005,Active,300943,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Dean Street,Bergen Street,40.6797354072404,-73.9682192627442,"993,064.867528886","186,923.953629732",POINT (-73.968219262744 40.67973540724)
15404,2083110,Active,214290,,,,Bronx,,,,,40.8940460008359,-73.8571395198079,"1,023,747.15524556","265,035.290188894",POINT (-73.857139519808 40.894046000836)
3869,4353001,Retired,412603,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Flushing Avenue,S,61 Street,Fresh Pond Road,40.7211448197378,-73.9037803727683,"1,010,921.39054281","202,023.684585065",POINT (-73.903780372768 40.721144819738)
2866,4233035,Active,418209,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,23 Street,W,33 Avenue,Broadway,40.7643181367395,-73.9305693247287,"1,003,483.21972364","217,746.072759643",POINT (-73.930569324729 40.76431813674)
8055,4072180,Active,415485,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,34 Avenue,S,Steinway Street,41 Street,40.7564519366801,-73.9205122497203,"1,006,271.76303105","214,882.527633727",POINT (-73.92051224972 40.75645193668)
5429,3193007,Active,311003,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Graham Avenue,W,Varet Street,Cook Street,40.7026748968362,-73.9425079607784,"1,000,190.79947121","195,285.114728898",POINT (-73.942507960778 40.702674896836)
15388,4233182,Active,422809,,,,Queens,Astoria Blvd,,,,40.7719427538186,-73.9248172205697,"1,005,074.24442872","220,525.288001731",POINT (-73.92481722057 40.771942753819)
7481,2363003,Retired,209064,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,Bedford Park Boulevard,S,Decatur Avenue,Webster Avenue,40.86742812825,-73.8838917510305,"1,016,363.7280833","255,326.410000399",POINT (-73.88389175103 40.86742812825)
3812,4313060,Retired,457487,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Jamaica Avenue,S,90 Street,92 Street,40.6929418654081,-73.8539751407611,"1,024,744.16178173","191,767.603719309",POINT (-73.853975140761 40.692941865408)
3464,4203041,Active,465621,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Roosevelt Avenue,S,67 Street,68 Street,40.7461250841493,-73.8977280271517,"1,012,588.43084389","211,126.67326881",POINT (-73.897728027152 40.746125084149)
13307,4433045,Active,443408,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,188 Street,W,Union Turnpike,80 Road,40.7289236553529,-73.7811276751491,"1,044,912.70641831","204,918.893361554",POINT (-73.781127675149 40.728923655353)
6523,2262724,Active,205579,6HR Pas Mon-Fri 0800-2200,,On Street,Bronx,Broadway,E,Van Cortland Park South,Mansion Street,40.8881597181902,-73.8987496789431,"1,012,245.52864255","262,874.649825141",POINT (-73.898749678943 40.88815971819)
